31006
2130;X = -0.469727	Y = 1.499390	Z = 3.593872
2135;X = -0.469727	Y = 1.499390	Z = 3.593872
2140;X = 2.781372	Y = -3.499634	Z = -0.812378
2144;X = 2.781372	Y = -3.499634	Z = -0.812378
2149;X = -1.062256	Y = -1.187378	Z = -0.561645
2153;X = -1.062256	Y = -1.187378	Z = -0.561645
2158;X = -1.093628	Y = -3.750122	Z = -2.217895
2162;X = -1.093628	Y = -3.750122	Z = -2.217895
2167;X = -3.749878	Y = -1.657104	Z = -2.032471
2171;X = -3.749878	Y = -1.657104	Z = -2.032471
2177;X = -3.749878	Y = -1.657104	Z = -2.032471
2181;X = 2.811890	Y = -3.656128	Z = 1.874023
2186;X = 2.811890	Y = -3.656128	Z = 1.874023
2190;X = 2.500488	Y = -2.312500	Z = -2.781860
2195;X = 2.500488	Y = -2.312500	Z = -2.781860
2199;X = -2.873901	Y = -2.906494	Z = -1.812378
2204;X = -2.873901	Y = -2.906494	Z = -1.812378
2208;X = 2.280518	Y = 3.124268	  = -3.843384
2213;X = 2.280518	Y = 3.124268	Z = -3.843384
2217;X = 2.280518	Y = 3.124268	Z = -3.843384
2223;X = -2.125488	Y = -0.000977	Z = 1.156006
2227;X = -2.125488	Y = -0.000977	Z = 1.156006
2231;X = -2.843506	Y = -2.718018	Z = 0.938110
2236;X = -2.843506	Y = -2.718018	Z = 0.938110
2240;X = 2.875000	Y = -1.625366	Z = 1.344482
2245;X = 2.875000	Y = -1.625366	Z = 1.344482
2249;X = 0.562012	Y = -0.532349	Z = -2.218384
2254;X = 0.562012	Y = -0.532349	Z = -2.218384
2258;X = 1.781006	Y = 2.000244	Z = -3.249634
2264;X = 1.781006	Y = 2.000244	Z = -3.249634
2268;X = 1.781006	Y = 2.000244	Z = -3.249634
2273;X = -2.249634	Y = 0.657227	Z = 0.843750
2277;X = -2.249634	Y = 0.657227	Z = 0.843750
2282;X = 0.625366	Y = 1.719116	Z = 1.406616
2286;X = 0.625366	Y = 1.719116	Z = 1.406616
2291;X = 0.374023	Y = 2.374390	Z = 1.125854
2295;X = 0.374023	Y = 2.374390	Z = 1.125854
2300;X = 2.281128	Y = 3.687012	Z = -0.594360
2305;X = 2.281128	Y = 3.687012	Z = -0.594360
2309;X = 2.281128	Y = 3.687012	Z = -0.594360
2314;X = 0.156616	Y = -0.125122	Z = 3.468018
2318;X = 0.156616	Y = -0.125122	Z = 3.468018
2323;X = 3.999878	Y = -0.343506	Z = -3.999023
2327;X = 3.999878	Y = -0.343506	Z = -3.999023
